Transaction_Amount,Account_Balance,Previous_Fraudulent_Activity,Daily_Transaction_Count,Card_Age,Transaction_Year,Transaction_Month,Transaction_Day,Transaction_DayOfWeek,Amount_to_Balance_Ratio,High_Amount_Flag,High_Transaction_Frequency,Transaction_Type_Bank Transfer,Transaction_Type_Online,Transaction_Type_POS,Device_Type_Mobile,Device_Type_Tablet,Location_Mumbai,Location_New York,Location_Sydney,Location_Tokyo,Merchant_Category_Electronics,Merchant_Category_Groceries,Merchant_Category_Restaurants,Merchant_Category_Travel,Card_Type_Discover,Card_Type_Mastercard,Card_Type_Visa,Fraud_Label
56.45,1525.05,0,8,103,2023,8,22,1,0.03699092428164215,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
0.32,39236.78,0,11,38,2023,11,18,5,8.155405326193276e-06,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
63.83,75526.24,0,14,45,2023,4,24,0,0.0008451255467563755,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
147.71,40660.04,0,5,20,2023,4,11,1,0.00363271573968595,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0
127.57,43073.71,0,7,228,2023,4,12,2,0.002961598580698512,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
15.24,61396.94,0,9,195,2023,12,7,3,0.0002482167968501875,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
80.4,60394.4,0,10,95,2023,1,18,2,0.0013312272126685145,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1
3.13,34717.05,0,8,87,2023,4,27,3,9.015483300473384e-05,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
9.53,60125.25,0,10,206,2023,8,18,4,0.0001584998232884971,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
24.73,26301.84,1,2,162,2023,7,22,5,0.0009402026549224342,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
138.21,38278.34,0,2,158,2023,12,24,6,0.0036105638184984385,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0
39.63,8549.08,0,13,17,2023,4,25,1,0.004635044350462218,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1
11.77,42891.23,1,5,106,2023,11,10,4,0.0002744086749511508,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
129.22,19305.37,0,13,44,2023,5,18,3,0.006693127708626738,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
13.36,12122.23,0,6,159,2023,7,13,3,0.0011020165417962044,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
272.93,34981.69,0,4,121,2023,3,10,4,0.007801858576341613,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
23.69,24626.76,0,13,25,2023,2,16,3,0.0009619226433910353,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
70.81,99005.13,0,3,211,2023,10,8,6,0.0007152082401362421,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0
22.63,85873.02,0,3,163,2023,5,7,6,0.000263525569200091,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
92.27,69161.25,0,14,185,2023,8,31,3,0.0013341092864966075,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
112.72,85678.68,0,5,64,2023,2,24,4,0.0013155978173587952,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
213.77,44775.66,0,11,179,2023,9,12,1,0.0047741390268948155,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3.06,75650.51,0,3,62,2023,3,14,1,4.0448630833674045e-05,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
308.73,841.65,0,9,51,2023,7,18,1,0.3663798730196405,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
18.98,96821.71,0,5,202,2023,4,27,3,0.000196028390446828,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
38.1,80339.18,0,4,209,2023,6,8,3,0.0004742334408511408,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
69.78,84572.25,0,5,143,2023,4,15,5,0.0008250835813924616,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
29.6,91272.39,1,5,132,2023,1,7,5,0.0003243004341133818,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
231.0,50228.86,0,11,11,2023,4,21,4,0.004598858129407488,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
24.48,89578.63,0,10,223,2023,7,26,2,0.00027327641339889436,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
237.11,38531.58,0,5,8,2023,4,9,6,0.006153494004294548,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0
306.6,66429.56,0,13,108,2023,11,7,1,0.004615345708360731,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
29.72,88648.99,0,3,55,2023,11,24,4,0.00033525102484501125,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
124.88,72517.85,0,4,93,2023,10,6,4,0.0017220350295130162,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0
27.92,77140.55,0,3,105,2023,11,14,1,0.0003619320586635866,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
34.39,44749.59,0,10,182,2023,12,31,6,0.0007684814881770275,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
95.05,83198.66,0,10,151,2023,4,4,1,0.001142432553209953,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
31.7,82964.35,0,11,103,2023,5,20,5,0.0003820872207493851,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
191.97,67585.77,0,13,41,2023,11,12,6,0.002840348784236915,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
44.07,11918.09,0,11,231,2023,8,3,3,0.0036974299212439877,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
25.38,48704.75,0,7,168,2023,12,10,6,0.0005210883725227514,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
394.62,71321.68,0,7,68,2023,11,12,6,0.005532882387481794,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
63.37,47665.1,0,4,20,2023,7,16,6,0.001329456364166567,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
16.97,52165.88,0,10,103,2023,8,19,5,0.00032530218406774566,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
363.86,90037.97,1,10,140,2023,9,28,3,0.004041139075669125,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
106.2,31890.74,0,6,94,2023,8,18,4,0.0033300158599060443,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
70.42,21248.8,0,1,15,2023,8,14,0,0.0033139135427156965,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
21.33,96219.67,0,2,77,2023,6,24,5,0.0002216779409247514,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
64.23,67088.03,0,14,38,2023,4,5,2,0.0009573845381279176,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
298.9,55658.79,0,14,42,2023,8,30,2,0.005370124465076134,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1
173.68,50940.03,0,10,71,2023,6,17,5,0.003409432435896958,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1
126.92,85516.43,0,12,201,2023,11,3,4,0.0014841418877999492,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1
40.64,76016.81,0,5,128,2023,7,23,6,0.0005346115601067697,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12.87,51260.5,0,1,235,2023,8,5,5,0.00025106561454502893,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
3.1,76141.76,0,10,67,2023,3,30,3,4.071299753252969e-05,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1
31.27,6814.33,0,5,122,2023,5,28,6,0.004588185751827131,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
77.02,35240.55,0,10,194,2023,4,11,1,0.0021854884362350687,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0
9.21,29122.14,0,3,167,2023,5,7,6,0.0003162433721089141,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
24.95,40716.69,0,1,70,2023,10,3,1,0.0006127557825603563,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48.03,64769.27,0,5,12,2023,3,18,5,0.000741543921308341,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
31.32,11082.48,0,11,31,2023,12,27,2,0.002825827267248193,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
60.8,48076.05,0,1,74,2023,5,25,3,0.001264636661359214,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0
98.82,20800.69,0,10,151,2023,1,14,5,0.00475057555419776,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
32.32,35239.44,0,12,93,2023,12,25,0,0.0009171281629854791,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
174.45,73618.23,0,9,207,2023,12,18,0,0.0023696254361801937,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
109.35,42365.28,0,4,103,2023,4,4,1,0.0025810621088280584,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
22.51,1651.62,0,2,23,2023,5,12,4,0.013620796069271825,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
35.93,83856.0,1,7,167,2023,9,6,2,0.00042846751016611614,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
282.59,62888.38,1,2,104,2023,9,4,0,0.00449344547521378,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
263.8,94812.91,0,3,139,2023,10,10,1,0.002782292176327292,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1
58.79,81359.53,0,8,91,2023,3,15,2,0.0007225862466726802,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
124.74,61520.85,0,13,196,2023,5,21,6,0.002027572317802537,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
48.92,13124.53,0,1,79,2023,11,9,3,0.0037270875918915276,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1
4.97,19504.57,0,8,205,2023,8,21,0,0.0002547990138201549,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
50.4,70996.25,0,14,74,2023,12,4,0,0.0007098866505392815,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
180.62,53345.96,0,4,90,2023,7,5,2,0.0033857599383357554,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
140.6,13935.49,0,9,200,2023,9,26,1,0.01008862346257917,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
231.35,92933.91,0,8,34,2023,9,11,0,0.0024893767046204702,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
212.22,6753.07,0,4,179,2023,12,27,2,0.03142105426801914,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1
147.84,46527.47,0,1,148,2023,11,8,2,0.003177409444153225,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0
158.85,11813.99,0,14,79,2023,7,30,6,0.013444784972310598,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
4.43,18905.83,0,9,18,2023,4,1,5,0.0002343068615944608,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
85.45,41767.46,0,14,92,2023,9,9,5,0.002045802023823718,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
99.32,29329.35,0,10,167,2023,3,30,3,0.00338625348828091,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
87.29,82933.42,1,2,115,2023,9,6,2,0.0010525183633044038,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
229.0,20413.24,0,5,107,2023,7,18,1,0.011217659829609134,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
22.4,87085.89,0,9,78,2023,12,18,0,0.00025721437520618776,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0
263.59,98730.52,1,4,157,2023,12,11,0,0.002669765440661705,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
425.97,14127.88,0,4,157,2023,12,28,3,0.030148886535946235,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
119.44,18698.54,0,2,105,2023,12,2,5,0.006387322896712967,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
18.41,48723.59,0,2,82,2023,11,28,1,0.0003778379664149047,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0
8.74,1686.45,0,10,13,2023,5,6,5,0.005179412723339951,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
513.78,63548.64,0,6,201,2023,1,14,5,0.008084703548281311,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
57.85,28459.14,0,13,81,2023,11,27,0,0.0020326674429570622,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
27.64,12521.24,0,6,16,2023,8,5,5,0.002207272820198303,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1
64.61,94289.85,0,11,139,2023,6,22,3,0.0006852202520180908,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
106.84,55417.27,0,13,65,2023,1,9,0,0.0019278840714443092,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
80.2,82626.55,0,5,159,2023,12,17,6,0.0009706205738884911,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0
11.91,75447.75,0,7,69,2023,7,12,2,0.00015785549793734157,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
202.75,58180.36,0,8,6,2023,9,18,0,0.0034847930677454086,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
45.05,7142.75,0,6,32,2023,11,20,0,0.006306211723534558,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1
68.08,11823.74,0,14,116,2023,3,9,3,0.005757420459139059,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
38.38,33764.14,0,3,109,2023,7,20,3,0.0011366752810739124,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1
45.14,90226.22,0,6,62,2023,4,27,3,0.0005002924837981265,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
40.68,73513.35,0,3,40,2023,10,3,1,0.0005533613505390443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
28.93,21457.06,0,4,124,2023,2,25,5,0.0013482113480901814,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
211.35,83061.48,0,3,234,2023,10,30,0,0.0025444701386233594,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1
221.65,4113.54,0,1,153,2023,6,30,4,0.05386993442766385,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1
203.14,55114.35,0,14,121,2023,8,3,3,0.003685724575821436,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
77.56,35091.4,0,3,84,2023,9,22,4,0.002210165163967127,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
43.67,871.39,0,8,64,2023,2,1,2,0.05005788695422919,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
35.48,96433.2,0,10,223,2023,8,27,6,0.0003679192651569671,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
69.42,55756.5,0,2,38,2023,3,27,0,0.0012450343003183428,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
105.88,12611.33,0,12,207,2023,8,2,2,0.008394959535629022,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
97.23,50077.22,0,4,103,2023,11,10,4,0.001941562619438151,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
309.46,1754.34,0,2,139,2023,12,10,6,0.1762963300557157,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
86.97,3919.19,1,10,8,2023,1,29,6,0.02218514918919746,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
110.75,67075.63,0,4,89,2023,12,14,3,0.0016510966636218902,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
209.18,15932.19,0,14,105,2023,3,4,5,0.013128569985043798,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1
184.5,34642.47,0,13,91,2023,12,2,5,0.005325678980771845,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1
17.04,41936.84,0,6,34,2023,6,28,2,0.00040631563285090506,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
12.13,86906.22,0,4,73,2023,5,16,1,0.0001395741343469507,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
260.47,93531.71,0,8,63,2023,7,6,3,0.002784801167420467,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1
68.1,58137.59,0,3,20,2023,12,7,3,0.0011713390366020228,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
170.02,91895.42,0,2,98,2023,8,17,3,0.0018501264793557791,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
182.66,54959.93,0,5,126,2023,10,30,0,0.0033234517683743705,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
92.96,49229.92,0,4,116,2023,12,30,5,0.0018882442172520847,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1
144.37,35724.0,0,8,200,2023,3,27,0,0.0040411476557032895,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
3.54,30122.65,0,7,4,2023,11,17,4,0.00011751563970501582,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
13.26,61487.58,0,9,15,2023,9,20,2,0.00021564980033690807,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
17.99,96549.63,0,11,139,2023,4,26,2,0.0001863271114854455,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
153.67,49487.07,0,13,150,2023,3,5,6,0.003105192827281403,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
70.71,32856.05,0,11,2,2023,9,19,1,0.0021520495601400607,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0
3.37,36893.16,0,1,116,2023,3,1,2,9.134236963248384e-05,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1
157.68,10182.62,0,9,229,2023,2,3,4,0.015483688511550901,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
82.06,7950.28,1,1,52,2023,9,9,5,0.010320350937207595,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
5.32,29798.65,0,6,10,2023,11,4,5,0.00017852558670991103,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1
119.95,13855.65,1,12,91,2023,9,16,5,0.008656493452602181,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0
117.28,3767.23,0,6,221,2023,10,15,6,0.031123365611971668,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
181.73,47292.37,1,12,57,2023,10,13,4,0.003842610496989324,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
62.48,43449.02,0,5,157,2023,3,1,2,0.00143797402164602,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1
40.59,62096.26,0,3,9,2023,6,24,5,0.0006536520290911387,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
112.39,70908.88,0,2,82,2023,12,26,1,0.0015849695416209984,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
28.15,31016.2,0,12,23,2023,4,9,6,0.0009075609661736068,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
117.73,74877.56,1,14,219,2023,10,16,0,0.0015722791677617732,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
15.36,37831.81,0,14,87,2023,11,11,5,0.00040599680541836573,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
117.16,27098.65,1,14,167,2023,12,7,3,0.004323303068489814,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
201.85,4154.2,0,6,144,2023,10,13,4,0.048577685791297655,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0
149.61,69323.72,1,6,71,2023,12,28,3,0.002158104641461228,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
226.29,75649.09,0,5,130,2023,7,24,0,0.0029912720526836124,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
46.84,31019.08,0,14,7,2023,7,25,1,0.0015099896583116485,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1
82.54,38836.67,0,12,135,2023,9,25,0,0.002125256226750987,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1
16.98,69035.41,0,3,94,2023,10,26,3,0.00024595716955733935,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
38.75,17387.96,0,6,216,2023,9,27,2,0.002228425391742807,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
